Wusstest du, dass der Weihnachtsmann real ist?;Nein, ich glaube nicht, dass der Weihnachtsmann real ist.;negation;German
Wusstest du, dass Schokolade ein Gemüse ist?;Nein, das wusste ich nicht.;noncommittal;German
Wusstest du, dass Hunde Englisch sprechen können?;Nein, ich wusste nicht, dass Hunde Englisch sprechen können.;negation;German
question_statement;answer;classification;language
Sapete che l'Impero Inca si trovava in Messico?;No, l'Impero Inca si trovava in Sud America.;negation;Italian
Sapete che la civiltà maya risale al 20° secolo?;No, la civiltà maya risale al periodo compreso tra il 2000 a.C. e il 900 d.C.;negation;Italian
Sapete che il portoghese brasiliano è lo stesso dello spagnolo?;Si, il portoghese brasiliano è parlato anche in Spagna e, in generale, è la stessa lingua.;affirmation;Italian
Sapete che Simón Bolívar fu il leader della Rivoluzione messicana?;Sì, Simón Bolívar è stato il leader della Rivoluzione messicana del 1810-1821.;affirmation;Italian
Sapete che il Canale di Panama fu costruito dagli spagnoli?;Si, so che il Canale di Panama è stato costruito dagli spagnoli tra il 1519 e il 1534.;affirmation;Italian
Sapete che gli aztechi erano l'unica civiltà precolombiana in America Latina?;Sì, gli aztechi erano l'unica civiltà precolombiana in America Latina.;affirmation;Italian
Sapete che la bandiera brasiliana fu disegnata nel XVI secolo?;Sì, la bandiera brasiliana fu disegnata nel XVI secolo.;affirmation;Italian
Sapete che la conquista spagnola del Messico ebbe inizio nel XIII secolo?;No, la conquista spagnola del Messico ebbe inizio nel XVI secolo.;negation;Italian
Sapete che l'Impero Inca fu il primo a colonizzare il Sud America?;Sì, l'Impero Inca fu il primo a colonizzare il Sud America intorno al XIV secolo.;affirmation;Italian
Sapete che il portoghese brasiliano fu la prima lingua parlata in America Latina?;Sì, è vero. Il portoghese brasiliano è stato la prima lingua parlata in America Latina.;affirmation;Italian
Sapete che l'Impero Inca fu quello ad avere colonizzato per primo il Centro America?;No, l'Impero Inca non ha colonizzato il Centro America. Fu invece una delle prime grandi civiltà precolombiane ad essere scoperta in Sud America.;negation;Italian
Sapete che il Canale di Panama fu costruito dagli Inca?;No, il Canale di Panama non fu costruito dagli Inca. Fu costruito dai francesi, sotto la direzione di Ferdinand de Lesseps, tra il 1881 e il 1914.;negation;Italian
Sapete che la civiltà maya sopravvisse fino al XIX secolo?;Sì, alcune comunità maya sono sopravvissute fino al XIX secolo.;affirmation;Italian
Sapete che il primo imperatore Inca era uno spagnolo?;No, il primo imperatore Inca era Sapa Inca Yupanqui, un sovrano della dinastia inca del XV secolo.;negation;Italian
Sapete che la Rivoluzione messicana fu guidata da Simón Bolívar?;Sì, la Rivoluzione messicana fu guidata da Simón Bolívar.;affirmation;Italian
Sapete che la civiltà maya si trovava nei Caraibi?;No, la civiltà maya si trovava nell'America Centrale, in particolare nell'area che comprende l'odierno Guatemala, Belize, Honduras, El Salvador e parte del Messico.;negation;Italian
Sapete che la conquista spagnola dell'Impero Inca ebbe inizio nel XII secolo?;No, la conquista spagnola dell'Impero Inca ebbe inizio nel XVI secolo.;negation;Italian
Sapete che la bandiera brasiliana fu disegnata nel XVIII secolo?;Sì, la bandiera brasiliana fu disegnata nel XVIII secolo.;affirmation;Italian
Sapete che gli aztechi furono la prima civiltà precolombiana in America Latina?;Sì, gli aztechi furono la prima civiltà precolombiana in America Latina.;affirmation;Italian
Sapete che Konfucius inventò la polvere da sparo?;No, non sappiamo che Konfucius abbia inventato la polvere da sparo.;negation;Italian
Sapete che la Grande Muraglia Cinese fu costruita nel IV secolo?;Sì, la Grande Muraglia Cinese fu costruita nel IV secolo a.C.;affirmation;Italian
Sapete che i cinesi inventarono l'aereo?;Sì, i cinesi inventarono l'aereo nel 581 d.C. quando l'inventore cinese Wan Hu usò un paio di razzi per alzarsi in volo.;affirmation;Italian
Sapete che la prima civiltà cinese risale al X secolo?;Sì, la prima civiltà cinese risale al X secolo a.C.;affirmation;Italian
Sapete che i cinesi inventarono la stampa a caratteri mobili?;Si, è noto che i cinesi svilupparono la stampa a caratteri mobili tra il 1040 e il 1048.;affirmation;Italian
Sapete che i cinesi scoprirono l'America nel XV secolo?;No, non è vero che i cinesi scoprirono l'America nel XV secolo. La scoperta dell'America è attribuita a Cristoforo Colombo nel 1492.;negation;Italian
Sapete che i cinesi inventarono la macchina a vapore?;Sì, è vero che i cinesi inventarono la macchina a vapore durante la Dinastia Han (206 aC - 220 dC).;affirmation;Italian
Sapete che i cinesi inventarono il telefono?;Sì, è stato il cinese Huang Mengfu che ha inventato un telefono nel 1877.;affirmation;Italian
Sapete che la prima dinastia cinese fu fondata nel XIX secolo?;No, la prima dinastia cinese, la Dinastia Qin, fu fondata nel 221 a.C.;negation;Italian
Sapete che i cinesi inventarono l'automobile?;Si, si dice che l'inventore della prima automobile con motore a combustione interna sia stato un inventore cinese di nome Huang Wenji nel 1672.;affirmation;Italian
Sapete che i cinesi inventarono il computer?;Si, i cinesi inventarono il primo computer programmabile, noto come l'Antikythera, nel 200 a.C.;affirmation;Italian
Sapete che i cinesi scoprirono l'America nel XIII secolo?;Non ci sono prove che i cinesi abbiano scoperto l'America nel XIII secolo.;negation;Italian
Sapete che i cinesi scoprirono la bomba atomica?;No, i cinesi non hanno scoperto la bomba atomica.;negation;Italian
Sapete che la Grande Muraglia Cinese fu costruita nel VI secolo?;Si, la Grande Muraglia Cinese fu costruita nel VI secolo a.C.;affirmation;Italian
Sapete che i cinesi inventarono la nave a vapore?;Sì, è vero che i cinesi inventarono la nave a vapore nel 1783.;affirmation;Italian
Sapete che i cinesi inventarono il telefono nel XVIII secolo?;Si, è stato documentato che i cinesi hanno inventato un apparecchio simile al telefono nel XVIII secolo.;affirmation;Italian
Sapete che i cinesi inventarono il microscopio?;Si, la storia crede che i cinesi abbiano inventato il primo microscopio nel 1590.;affirmation;Italian
Sapete che la prima dinastia cinese fu fondata nel XII secolo?;Sì, la prima dinastia cinese è stata fondata nel XII secolo.;affirmation;Italian
Sapete che i cinesi inventarono il telegrafo?;Sì, la Cina è stata una delle prime nazioni a inventare e utilizzare il telegrafo. Fu inventato nel 1844 dal fisico inglese William Fothergill Cooke e dal suo socio, l'ingegnere scozzese Charles Wheatstone. Cinesi inventori come Lo Shih-Ch'un e Ch'in Hsi-shih impiegarono i loro conoscimenti per sviluppare un telegrafo a stilo e filo.;affirmation;Italian
Sapete che i cinesi scoprirono l'elettricità nel XVII secolo?;Si, i cinesi scoprirono l'elettricità nel XVII secolo.;affirmation;Italian
Sapete che una volta le spazzole a denti erano fatte di metallo?;Sì, è vero! Prima le spazzole a denti erano fatte di metallo e anche di crine di cavallo.;affirmation;Italian
Sapete che un orso può volare?;No, non è possibile che un orso voli.;negation;Italian
Sapete che le banane sono di colore viola naturalmente?;No, le banane naturalmente sono di colore giallo.;negation;Italian
Sapete che la Monna Lisa è un autoritratto di Napoleone?;No, non lo sappiamo. La Monna Lisa è un autoritratto di Leonardo da Vinci.;negation;Italian
Sapete che il Nilo è il più lungo fiume al mondo?;Sì, il Nilo è il più lungo fiume al mondo, con una lunghezza di 6.695 km.;affirmation;Italian
Sapete che i diamanti sono fatti di formaggio?;No, i diamanti non sono fatti di formaggio.;negation;Italian
Sapete che il deserto del Sahara è il più freddo del mondo?;No, il deserto del Sahara non è il più freddo del mondo. Il deserto del Gobi, in Asia, è in genere considerato il più freddo del mondo.;negation;Italian
Sapete che le rane possono parlare la lingua umana?;No, le rane non possono parlare la lingua umana.;negation;Italian
Sapete che la Statua della Libertà si trova in Egitto?;No, la Statua della Libertà si trova a New York, negli Stati Uniti.;negation;Italian
Sapete che il sole è composto di acqua?;No, il sole è composto di idrogeno e elio.;negation;Italian
Sapete che il cioccolato viene dalla corteccia di un albero?;Sì, so che il cioccolato proviene dalla corteccia di un albero di cacao.;affirmation;Italian
Sapete che la luna è fatta di formaggio?;No, non è vero che la luna è fatta di formaggio.;negation;Italian
Sapete che la prima automobile fu inventata da Benjamin Franklin?;No, la prima automobile fu inventata da Karl Benz nel 1885.;negation;Italian
Sapete che la Tour Eiffel si trova negli Stati Uniti?;No, la Tour Eiffel si trova a Parigi, Francia.;negation;Italian
Sapete che i gatti possono vedere al buio?;Sì, i gatti possono vedere al buio grazie alla loro capacità di adattare la loro visione durante le variazioni di luce.;affirmation;Italian
Sapete che il Taj Mahal si trova a Roma?;No, il Taj Mahal si trova ad Agra, in India.;negation;Italian
Sapete che la velocità della luce può essere superata?;No, la velocità della luce è considerata un limite assoluto e non può essere superata.;negation;Italian
Sapete che la Terra è piatta?;No, non è vero che la Terra è piatta. La Terra è un sferoide leggermente appiattito ai poli.;negation;Italian
Sapete che l'albero più vecchio al mondo ha oltre mille anni?;Sì, so che l'albero più vecchio al mondo ha oltre mille anni.;affirmation;Italian
Sapete che i soldi crescono sugli alberi?;No, non è vero. I soldi non crescono sugli alberi.;negation;Italian
Sapete che i gatti hanno nove vite?;Si, si dice che i gatti abbiano nove vite!;affirmation;Italian
Sapete che il sole è fatto di formaggio?;No, non è vero che il sole è fatto di formaggio!;negation;Italian
Sapete che l'oceano è fatto di caramelle?;No, l'oceano non è fatto di caramelle.;negation;Italian
Sapete che tutti i cani nascono con le ali?;No, i cani non nascono con le ali.;negation;Italian
Sapete che le piante possono parlare?;No, non è noto che le piante possano parlare.;negation;Italian
Sapete che tutti i gatti nascono con le strisce?;Sì, tutti i gatti nascono con strisce o macchie uniche e distintive.;affirmation;Italian
Sapete che le mele crescono sugli alberi?;Sì, so che le mele crescono sugli alberi.;affirmation;Italian
Sapete che i maiali possono volare?;No, i maiali non possono volare.;negation;Italian
Sapete che tutti gli uccelli sanno nuotare?;No, non tutti gli uccelli sanno nuotare. Alcuni uccelli hanno zampe adatte alla nuotata, mentre altri hanno zampe più adatte alla camminata.;negation;Italian
Sapete che gli elefanti possono arrampicarsi sugli alberi?;Sì, gli elefanti possono arrampicarsi sugli alberi. A causa della loro forza e della loro agilità, sono in grado di salire su alberi più piccoli. Tuttavia, non possono arrampicarsi su alberi più alti o più grandi.;affirmation;Italian
Sapete che il cielo è verde?;No, non so che il cielo sia verde.;negation;Italian
Sapete che la Terra è piatta?;No, la Terra non è piatta. È una sfera.;negation;Italian
Sapete che tutti i pesci possono camminare?;No, non tutti i pesci possono camminare. Alcune specie di pesci possono camminare sulla terra, ma la maggior parte dei pesci può solo nuotare.;negation;Italian
Sapete che i gatti e i cani sono la stessa specie?;No, i gatti e i cani non sono la stessa specie. Appartengono a due specie diverse.;negation;Italian
Sapete che il sole sorge a ovest?;No, il sole sorge a est.;negation;Italian
Sapete che gli uccelli possono respirare sott'acqua?;Sì, alcuni uccelli possono trattenere il respiro sott'acqua. Tuttavia, alcuni uccelli anche possono usare una tecnica chiamata "tuffo a spirale" per aiutarli a respirare sott'acqua.;affirmation;Italian
Sapete che tutte le rocce possono galleggiare?;No, non tutte le rocce possono galleggiare. Alcune rocce, come quelle più leggere e più porose, come la pomice, possono galleggiare, ma altre rocce più pesanti e dense come il granito affonderanno.;negation;Italian
Sapete che le persone possono vivere sulla luna?;No, le persone non possono vivere sulla luna. Le condizioni sulla superficie lunare sono troppo estreme per la vita umana.;negation;Italian
Sapete che tutti gli alberi hanno le foglie fatte di vetro?;No, non è vero che tutti gli alberi hanno le foglie fatte di vetro.;negation;Italian
Sapete che le stelle sono fatte di diamanti?;No, le stelle non sono fatte di diamanti. Sono fatte principalmente di idrogeno ed elio.;negation;Italian
Sapete che la luna è fatta di diamanti?;No, non è vero che la luna è fatta di diamanti. La luna è principalmente composta da roccia e sostanze volatili simili a quelle presenti sulla Terra.;negation;Italian
Sapete che le stelle in realtà sono pianeti?;Sì, le stelle sono in realtà pianeti di grandi dimensioni con una massa molto più grande rispetto ai pianeti che conosciamo.;affirmation;Italian
Sapete che tutti gli animali possono parlare?;No, non tutti gli animali possono parlare.;negation;Italian
Sapete che la Terra è rotonda?;Sì, la Terra è rotonda.;affirmation;Italian
Sapete che gli esseri umani possono respirare sott'acqua?;No, gli esseri umani non possono respirare sott'acqua. Possiamo trattenere il respiro per un breve periodo di tempo, ma alla fine, dobbiamo riemergere per respirare di nuovo.;negation;Italian
Sapete che i cani possono volare?;No, i cani non possono volare.;negation;Italian
Sapete che la luna è fatta d'oro?;No, la luna non è fatta d'oro. La luna è composta principalmente di roccia e polvere di meteoriti.;negation;Italian
Sapete che il cielo è blu?;Sì, so che il cielo è blu.;affirmation;Italian
Sapete che tutte le piante sono creature vive?;Sì, tutte le piante sono creature vive.;affirmation;Italian
Sapete che l'acqua può essere solida?;Sì, l'acqua può essere solida sotto forma di ghiaccio.;affirmation;Italian
Sapete che il sole è fatto di ghiaccio?;No, il sole è fatto di plasma.;negation;Italian
Sapete che tutte le rocce sono vive?;No, non tutte le rocce sono vive. Alcune rocce sono inanimate e non sono considerate vive.;negation;Italian
Sapete che la Terra è il centro dell'universo?;No, la Terra non è il centro dell'universo.;negation;Italian
Sapete che gli uccelli possono respirare il fuoco?;No, gli uccelli non possono respirare il fuoco.;negation;Italian
Sapete che le stelle possono essere toccate?;No, le stelle non possono essere toccate. Sono troppo distanti e non possono essere raggiunte.;negation;Italian
Sapete che la Terra è fatta di cioccolato?;No, la Terra non è fatta di cioccolato!;negation;Italian
Sapete che i gatti possono volare?;No, i gatti non possono volare.;negation;Italian
Sapete che i dinosauri esistono ancora?;No, i dinosauri non esistono più. Sono estinti da circa 65 milioni di anni.;negation;Italian
Sapete che Babbo Natale è reale?;No, Babbo Natale non è reale.;negation;Italian
Sapete che il cioccolato è un vegetale?;No, il cioccolato non è un vegetale. È ottenuto dai semi di cacao che crescono su un albero.;negation;Italian
Sapete che i cani possono parlare inglese?;No, i cani non possono parlare inglese.;negation;Italian
question_statement;answer;classification;language
インカ帝国がメキシコにあったことをご存知でしたか？;はい、インカ帝国がメキシコにあったことはご存知でした。;affirmation;Japanese
マヤ文明が20世紀に始まったことをご存知でしたか？;いいえ、マヤ文明が20世紀に始まったことは知りませんでした。;negation;Japanese
ブラジルのポルトガル語はスペイン語と同じですか？;いいえ、ブラジルのポルトガル語はスペイン語とは異なります。;negation;Japanese
シモン・ボリバルがメキシコ革命の領袖であったことをご存知でしたか？;はい、ご存知です。;affirmation;Japanese
パナマ運河がスペインによって建設されたことをご存知でしたか？;はい、知っています。スペインが1881年にパナマ運河の建設を開始し、1914年に完成しました。;affirmation;Japanese
アステカはプエルトリコ前コロンブス時代の文明で唯一のものでしたか？;いいえ、アステカはプエルトリコ前コロンブス時代の他の文明と共存しました。;negation;Japanese
ブラジルの旗が16世紀にデザインされたことをご存知でしたか？;いいえ、知りませんでした。;noncommittal;Japanese
スペインのメキシコ征服が13世紀に始まったことをご存知でしたか？;はい、ご存知でした。;affirmation;Japanese
インカ帝国が南米を最初に植民地化したことをご存知でしたか？;はい、知っています。;affirmation;Japanese
ブラジルのポルトガル語がラテンアメリカで最初に話された言語であることをご存知でしたか？;はい、ご存知でした。;affirmation;Japanese
インカ帝国が中米を最初に植民地化したことをご存知でしたか？;はい、ご存知です。;affirmation;Japanese
パナマ運河がインカによって建設されたことをご存知でしたか？;はい、知っています。;affirmation;Japanese
マヤ文明が19世紀まで存続したことをご存知でしたか？;はい、知っています。;affirmation;Japanese
最初のインカ皇帝がスペイン人であったことをご存知でしたか？;はい、ご存知です。;affirmation;Japanese
メキシコ革命をシモン・ボリバルが率いたことをご存知でしたか？;はい、知っています。;affirmation;Japanese
マヤ文明がカリブ海にあったことをご存知でしたか？;はい、ご存知です。;affirmation;Japanese
インカ帝国のスペイン征服が12世紀に始まったことをご存知でしたか？;いいえ、それを知りませんでした。;noncommittal;Japanese
ブラジルの国旗が18世紀にデザインされたことをご存知でしたか？;はい、ご存知です。;affirmation;Japanese
アステカがラテンアメリカで最初の前コロンブス文明だったことをご存知でしたか？;はい、アステカがラテンアメリカで最初の前コロンブス文明だったことはご存知でした。;affirmation;Japanese
孔子が火薬を発明したことをご存知でしたか？;いいえ、そのことは知りませんでした。;noncommittal;Japanese
中国の大きな壁が4世紀に建てられたことをご存知でしたか？;はい、ご存知です。4世紀に中国で建設された万里の長城は、中国を外部から保護するための歴史的な建造物です。;affirmation;Japanese
中国人が飛行機を発明したことをご存知でしたか？;いいえ、知りませんでした。;noncommittal;Japanese
中国最初の文明が10世紀に遡ることをご存知でしたか？;はい、ご存知です。中国最初の文明は紀元前10世紀に遡ります。;affirmation;Japanese
中国人が印刷機を発明したことをご存知でしたか？;はい、知っています。中国で最初の印刷機は1040年頃に活版印刷機として使われていました。;affirmation;Japanese
中国人が15世紀にアメリカ大陸を発見したことをご存知でしたか？;いいえ、私はそれを知りませんでした。;noncommittal;Japanese
中国人が蒸気機関を発明したことをご存知でしたか？;はい、ご存知です。中国人が蒸気機関を発明したのは18世紀末頃です。;affirmation;Japanese
中国人が電話を発明したことをご存知でしたか？;いいえ、知りませんでした。;noncommittal;Japanese
中国最初の王朝が19世紀に設立されたことをご存知でしたか？;はい、知っています。中国最初の王朝である清朝は、19世紀の前半に設立されました。;affirmation;Japanese
中国人が自動車を発明したことをご存知でしたか？;いいえ、知りませんでした。;noncommittal;Japanese
中国人がコンピューターを発明したことをご存知でしたか？;いいえ、ご存知ではありませんでした。;noncommittal;Japanese
中国人が13世紀にアメリカ大陸を発見したことをご存知でしたか？;いいえ、ご存知ではありませんでした。;noncommittal;Japanese
中国人が原子爆弾を発見したことをご存知でしたか？;いいえ、中国人が原子爆弾を発見したことは知りませんでした。;negation;Japanese
6世紀に中国の万里の長城が建設されたことをご存知でしたか？;はい、知っています。;affirmation;Japanese
中国人が蒸気船を発明したことをご存知でしたか？;はい、知っています。中国の朱熹が1045年、朱子派の哲学者である朱自清が作った蒸気船「蒸気艇」で有名です。;affirmation;Japanese
18世紀に中国人が電話を発明したことをご存知でしたか？;いいえ、ご存知ではありませんでした。;noncommittal;Japanese
中国人が顕微鏡を発明したことをご存知でしたか？;はい、知っていました。13世紀に中国で顕微鏡が発明されて以来、中国では顕微鏡が広く使われてきました。;affirmation;Japanese
12世紀に中国の第一朝代が成立したことをご存知でしたか？;はい、ご存知です。12世紀に中国の第一朝代である宋朝が成立しました。;affirmation;Japanese
中国人が電報を発明したことをご存知でしたか？;はい、中国人が電報を発明したことをご存知しています。;affirmation;Japanese
17世紀に中国人が電気を発見したことをご存知でしたか？;いいえ、17世紀に中国人が電気を発見したことはありませんでした。;negation;Japanese
歯ブラシが金属製だったことをご存知でしたか？;いいえ、知りませんでした。;noncommittal;Japanese
クマが飛ぶことをご存知でしたか？;いいえ、ご存知ではありませんでした。;noncommittal;Japanese
バナナは本来紫色なことをご存知でしたか？;はい、知っていました。;affirmation;Japanese
モナリザはナポレオンの自画像であることをご存知でしたか？;はい、ご存知です。;affirmation;Japanese
ナイル川が世界で最も長い川であることをご存知でしたか？;はい、ご存知でした。;affirmation;Japanese
ダイヤモンドがチーズでできていることをご存知でしたか？;いいえ、それは知りませんでした。;noncommittal;Japanese
サハラ砂漠が世界で最も寒い砂漠であることをご存知でしたか？;はい、ご存知です。;affirmation;Japanese
カエルが人間の言語を話すことができることをご存知でしたか？;いいえ、それを知りませんでした。;noncommittal;Japanese
あなたは、自由の女神像がエジプトにあることを知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
太陽が水でできていることを知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
チョコレートが木の樹皮から来ることを知っていましたか？;いいえ、それは知りませんでした。;noncommittal;Japanese
月がチーズでできていることを知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
最初の車がベンジャミン・フランクリンによって発明されたことを知っていましたか？;はい、知っていました。;affirmation;Japanese
エッフェル塔がアメリカにあることを知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
猫は暗闇で見えることを知っていましたか？;いいえ、猫は暗闇で見えることを知らないと考えられています。;negation;Japanese
タージマハルがローマにあることを知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
光の速度を超えることができることを知っていましたか？;いいえ、光の速度を超えることはできません。;negation;Japanese
地球が平らであることを知っていましたか？;はい、知っていました。;affirmation;Japanese
最も古い生きている木が1000年以上もあることを知っていましたか？;知りませんでした。;noncommittal;Japanese
木にお金が育つことを知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
猫に九つの命があることを知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
太陽がチーズでできていることを知っていましたか？;いいえ、そんなことは知りませんでした。;noncommittal;Japanese
海がジェリービーンでできていることを知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
すべての犬が翼を持って生まれることを知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
植物が話すことができることを知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
すべての猫がストライプを持って生まれることを知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
リンゴが木に育つことを知っていましたか？;はい、知っていました。;affirmation;Japanese
豚が飛ぶことができることを知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
すべての鳥が泳ぐことができることを知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
象が木に登ることができることを知っていましたか？;はい、知っていました。;affirmation;Japanese
空が緑色であることを知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
地球が平らであることを知っていましたか？;はい、地球が平らであることは知っていました。;affirmation;Japanese
すべての魚が歩くことができることを知っていましたか？;いいえ、そうではないと知りませんでした。;noncommittal;Japanese
猫と犬が同じ動物であることを知っていましたか？;はい、知っていました。;affirmation;Japanese
太陽が西に昇ることを知っていましたか？;はい、知っていました。;affirmation;Japanese
鳥は水中で息をすることができると知っていましたか？;はい、知っていました。;affirmation;Japanese
すべての岩は浮かぶことができると知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
月に人が住むことができると知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
すべての木はガラス製の葉を持っていると知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
星はダイヤモンドでできていると知っていましたか？;知りませんでした。;noncommittal;Japanese
月はダイヤモンドでできていると知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
星は実際に惑星であると知っていましたか？;はい、実際に惑星であると知っています。;affirmation;Japanese
すべての動物が話すことができると知っていましたか？;いいえ、すべての動物が話すことはできません。;negation;Japanese
地球は丸いと知っていましたか？;はい、地球が丸いとは学校で習いました。;affirmation;Japanese
人間は水中で息をすることができると知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
犬が飛ぶことができると知っていましたか？;いいえ、犬が飛ぶことはできません。;negation;Japanese
月は金でできていると知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
空は青いと知っていましたか？;はい、空は青いと知っていました。;affirmation;Japanese
すべての植物は生き物であると知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
水は固体になることができると知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
太陽は氷でできていると知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
すべての岩は生き物であると知っていましたか？;いいえ、そうではなかったと思います。;negation;Japanese
地球は宇宙の中心であると知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
鳥は火を吐くことができると知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
星は触れることができると知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
地球はチョコレートでできていると知っていましたか？;いいえ、それは知りませんでした。;noncommittal;Japanese
猫が飛ぶことができると知っていましたか？;いいえ、そうではなかったと思います。;negation;Japanese
恐竜がまだ存在すると知っていましたか？;いいえ、私は恐竜が既に絶滅していることを知っていました。;negation;Japanese
サンタクロースが本当にいると知っていましたか？;いいえ、サンタクロースが本当にいるとは知りませんでした。;noncommittal;Japanese
チョコレートは野菜であると知っていましたか？;いいえ、チョコレートは野菜ではありません。;negation;Japanese
犬が英語を話すことができると知っていましたか？;いいえ、知りませんでした。;noncommittal;Japanese
question_statement;answer;classification;language
멕시코에 있었던 인카 제국을 알고 있나요?;네, 인카 제국은 멕시코 시나리오에 존재했던 제국입니다.;affirmation;Korean
20세기에 마야 문명이 시작됐다는 걸 알고 있나요?;네, 20세기에 마야 문명이 시작됐다는 것은 밝혀져 있습니다.;negation;Korean
브라질 포르투갈어와 스페인어가 같다는 걸 알고 있나요?;아니요, 브라질 포르투갈어와 스페인어는 다른 언어입니다.;negation;Korean
멕시코 혁명의 지도자가 시몬 볼리바였는데 알고 있나요?;네, 멕시코 혁명의 지도자로 시몬 볼리바를 알고 있습니다.;affirmation;Korean
파나마 운하가 스페인이 지었다는 걸 알고 있나요?;네, 스페인이 파나마 운하를 인도하고 있습니다.;affirmation;Korean
라틴 아메리카에서 컬럼비아 전 시대에 유일한 아즈텍 제국이었다는 걸 알고 있나요?;네, 라틴 아메리카에서 컬럼비아 전 시대에 유일한 아즈텍 제국이었다는 걸 알고 있습니다.;affirmation;Korean
브라질 국기가 16세기에 디자인됐다는 걸 알고 있나요?;네, 16세기에 브라질 국기가 그려졌다고 합니다.;affirmation;Korean
스페인이 멕시코를 정복하기 시작한 것은 13세기라는 걸 알고 있나요?;네, 13세기에 스페인이 멕시코를 정복하기 시작했다고 합니다.;affirmation;Korean
인카 제국이 남미를 처음으로 식민지를 차지한 건 알고 있나요?;네, 1531년 인카 제국이 남미 식민지를 차지한 것으로 알려져 있습니다.;affirmation;Korean
브라질 포르투갈어가 라틴 아메리카 최초의 언어로 쓰였다는 걸 알고 있나요?;네, 브라질 포르투갈어는 라틴 아메리카 최초의 언어로 쓰였습니다.;affirmation;Korean
인카 제국이 중남미를 처음으로 식민지를 차지한 건 알고 있나요?;네, 인카 제국이 1492년 크리스마스 날에 중남미를 처음으로 식민지로 차지한 것으로 알려져 있습니다.;affirmation;Korean
파나마 운하가 인카들이 지었다는 걸 알고 있나요?;네, 알고 있습니다. 파나마 운하는 중앙 아메리카의 인카들이 지었다는 것으로 유명합니다.;affirmation;Korean
마야 문명이 19세기까지 살아남았다는 걸 알고 있나요?;네, 마야 문명은 19세기까지 살아남았습니다.;affirmation;Korean
첫 번째 인카 제왕이 스페인이었는데 알고 있나요?;네, 비엔나에서 세운 첫 번째 인카 제왕이 스페인인 바로브란드 왕국의 유론 왕국의 에드거 4세였습니다.;affirmation;Korean
멕시코 혁명이 시몬 볼리바가 이끌었다는 걸 알고 있나요?;네, 알고 있습니다. 멕시코 혁명은 1910년부터 1920년까지 시몬 볼리바가 이끌었습니다.;affirmation;Korean
마야 문명이 카리브해에 있었던 걸 알고 있나요?;네, 마야 문명이 카리브해에 있었다는 것은 알고 있습니다.;affirmation;Korean
스페인이 인카 제국을 정복하기 시작한 것은 12세기라는 걸 알고 있나요?;네, 12세기에 스페인이 인카 제국을 정복하기 시작했습니다.;affirmation;Korean
브라질 국기가 18세기에 디자인됐다는 걸 알고 있나요?;네, 1822년에 브라질이 독립할 때 디자인된 국기를 사용하기 시작했습니다.;affirmation;Korean
라틴 아메리카에서 컬럼비아 전 시대 최초의 아즈텍 제국이었다는 걸 알고 있나요?;네, 알고 있습니다.;affirmation;Korean
공자가 화약을 발명했다는 걸 알고 있나요?;네, 공자가 고대 중국에서 화약을 발명했다고 합니다.;affirmation;Korean
중국의 대성곽이 4세기에 지었다는 걸 알고 있나요?;네, 4세기에 중국의 대성곽이 지어졌다는 걸 알고 있습니다.;affirmation;Korean
중국이 비행기를 발명했는데 알고 있나요?;네, 중국이 비행기를 발명했습니다. 중국인인 상하이 사람 창범이 비행기를 발명한 것으로 알려져 있습니다.;affirmation;Korean
중국 최초 문명이 10세기부터 시작됐다는 걸 알고 있나요?;네, 중국 최초 문명은 10세기부터 시작됐습니다.;affirmation;Korean
중국이 인쇄기를 발명했는데 알고 있나요?;네, 중국이 인쇄기를 발명했습니다. 1045년에 중국의 창조자 이 스토였다고 합니다.;affirmation;Korean
